分类: 📡卫视频道, 名称: 山东卫视, 有效: 8, IPv4: 37, IPv6: 0, 最小延迟: 425 ms, 最高速率: 8.30 M/s, 平均速率: 5.26 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 8, IPv4: 27, IPv6: 0, 最小延迟: 45 ms, 最高速率: 117.86 M/s, 平均速率: 28.42 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 7, IPv4: 38, IPv6: 0, 最小延迟: 53 ms, 最高速率: 94.61 M/s, 平均速率: 19.31 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 四川卫视, 有效: 8, IPv4: 48, IPv6: 0, 最小延迟: 40 ms, 最高速率: 138.02 M/s, 平均速率: 36.18 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 10, IPv4: 36, IPv6: 0, 最小延迟: 495 ms, 最高速率: 8.39 M/s, 平均速率: 5.36 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 3, IPv4: 18, IPv6: 0, 最小延迟: 883 ms, 最高速率: 5.80 M/s, 平均速率: 5.75 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 天津卫视, 有效: 8, IPv4: 36, IPv6: 0, 最小延迟: 529 ms, 最高速率: 8.51 M/s, 平均速率: 5.07 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 6, IPv4: 28, IPv6: 0, 最小延迟: 62 ms, 最高速率: 91.05 M/s, 平均速率: 20.31 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 7, IPv4: 38, IPv6: 0, 最小延迟: 73 ms, 最高速率: 75.19 M/s, 平均速率: 15.48 M/s, 最高分辨率: 1920x1080
分类: 🌊港·澳·台, 名称: 翡翠台, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 146 ms, 最高速率: 2.06 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 🌊港·澳·台, 名称: 明珠台, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
